measure,pack,id,samp_date,spectrum,meas date,YB,YH,YC,ok,habitat,sex,age,nest
1,2,BC263,11.6.13,COL_AM_POLLOS_0184,22.05.21,7.419673872,642,0.287913504,1,Forest,2,Pull,V135
1,2,BC263,11.6.13,COL_AM_POLLOS_0185,22.05.21,6.699133663,642,0.348891338,1,Forest,2,Pull,V135
1,2,BC263,11.6.13,COL_AM_POLLOS_0186,22.05.21,8.442377344,493,0.414944613,1,Forest,2,Pull,V135
1,1,BC264,11.6.13,COL_AM_POLLOS_0187,22.05.21,9.194449913,493,0.373069194,1,Forest,2,Pull,V135
1,1,BC264,11.6.13,COL_AM_POLLOS_0188,22.05.21,10.50835894,498,0.383502556,1,Forest,2,Pull,V135
1,1,BC264,11.6.13,COL_AM_POLLOS_0189,22.05.21,9.394626012,498,0.404264217,1,Forest,2,Pull,V135
1,2,BC264,11.6.13,COL_AM_POLLOS_0190,22.05.21,9.92934548,493,0.305141442,1,Forest,2,Pull,V135
1,2,BC264,11.6.13,COL_AM_POLLOS_0191,22.05.21,9.218436997,642,0.319600467,1,Forest,2,Pull,V135
1,2,BC264,11.6.13,COL_AM_POLLOS_0192,22.05.21,9.156090553,493,0.303407531,1,Forest,2,Pull,V135
1,1,BC265,11.6.13,COL_AM_POLLOS_0193,22.05.21,8.607271546,498,0.421705357,1,Forest,1,Pull,V135
1,1,BC265,11.6.13,COL_AM_POLLOS_0194,22.05.21,8.307003588,493,0.363214175,1,Forest,1,Pull,V135
1,1,BC265,11.6.13,COL_AM_POLLOS_0195,22.05.21,7.807060433,493,0.427776643,1,Forest,1,Pull,V135
1,2,BC265,11.6.13,COL_AM_POLLOS_0196,22.05.21,8.339636308,498,0.317142722,1,Forest,1,Pull,V135
1,2,BC265,11.6.13,COL_AM_POLLOS_0197,22.05.21,7.475653766,642,0.369142387,1,Forest,1,Pull,V135
1,2,BC265,11.6.13,COL_AM_POLLOS_0198,22.05.21,9.633786355,493,0.347322009,1,Forest,1,Pull,V135
1,1,BC266,11.6.13,COL_AM_POLLOS_0199,22.05.21,7.901585736,498,0.422187795,1,Forest,2,Pull,V135
1,1,BC266,11.6.13,COL_AM_POLLOS_0200,22.05.21,9.574269736,493,0.40664392,1,Forest,2,Pull,V135
1,1,BC266,11.6.13,COL_AM_POLLOS_0201,22.05.21,7.888201348,493,0.450645037,1,Forest,2,Pull,V135
1,2,BC266,11.6.13,COL_AM_POLLOS_0202,22.05.21,8.987733157,493,0.37106114,1,Forest,2,Pull,V135
1,2,BC266,11.6.13,COL_AM_POLLOS_0203,22.05.21,9.124055405,498,0.444542733,1,Forest,2,Pull,V135
1,2,BC266,11.6.13,COL_AM_POLLOS_0204,22.05.21,9.187843792,498,0.429570439,1,Forest,2,Pull,V135
1,1,BC278,12.6.13,COL_AM_POLLOS_0205,22.05.21,8.648070194,498,0.403328592,1,Urban,1,Pull,P9
1,1,BC278,12.6.13,COL_AM_POLLOS_0206,22.05.21,6.514318917,498,0.423751438,1,Urban,1,Pull,P9
1,1,BC278,12.6.13,COL_AM_POLLOS_0207,22.05.21,7.665707689,642,0.305953638,1,Urban,1,Pull,P9
1,2,BC278,12.6.13,COL_AM_POLLOS_0208,22.05.21,10.03505598,493,0.31483003,1,Urban,1,Pull,P9
1,2,BC278,12.6.13,COL_AM_POLLOS_0209,22.05.21,10.48754697,499,0.484424418,1,Urban,1,Pull,P9
1,2,BC278,12.6.13,COL_AM_POLLOS_0210,22.05.21,11.66296458,498,0.476395627,1,Urban,1,Pull,P9
1,1,BC279,12.6.13,COL_AM_POLLOS_0211,22.05.21,9.576985691,642,0.319096798,1,Urban,1,Pull,P9
1,1,BC279,12.6.13,COL_AM_POLLOS_0212,22.05.21,9.511124073,493,0.373855523,1,Urban,1,Pull,P9
1,1,BC279,12.6.13,COL_AM_POLLOS_0213,22.05.21,9.692024446,498,0.354979973,1,Urban,1,Pull,P9
1,2,BC279,12.6.13,COL_AM_POLLOS_0214,22.05.21,9.052835801,499,0.295950673,1,Urban,1,Pull,P9
1,2,BC279,12.6.13,COL_AM_POLLOS_0215,22.05.21,8.993072374,498,0.303371192,1,Urban,1,Pull,P9
