id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BC266,11.6.13,COL_AM_POLLOS_0204,0.429570439,9.187843792,V135,V135,Forest,Forest,0,2
BC278,12.6.13,COL_AM_POLLOS_0205,0.403328592,8.648070194,P9,P9,Urban,Urban,0,1
BC278,12.6.13,COL_AM_POLLOS_0206,0.423751438,6.514318917,P9,P9,Urban,Urban,0,1
BC278,12.6.13,COL_AM_POLLOS_0207,0.305953638,7.665707689,P9,P9,Urban,Urban,0,1
BC278,12.6.13,COL_AM_POLLOS_0208,0.31483003,10.03505598,P9,P9,Urban,Urban,0,1
BC278,12.6.13,COL_AM_POLLOS_0209,0.484424418,10.48754697,P9,P9,Urban,Urban,0,1
BC278,12.6.13,COL_AM_POLLOS_0210,0.476395627,11.66296458,P9,P9,Urban,Urban,0,1
BC279,12.6.13,COL_AM_POLLOS_0211,0.319096798,9.576985691,V219,P9,Forest,Urban,1,1
BC279,12.6.13,COL_AM_POLLOS_0212,0.373855523,9.511124073,V219,P9,Forest,Urban,1,1
BC279,12.6.13,COL_AM_POLLOS_0213,0.354979973,9.692024446,V219,P9,Forest,Urban,1,1
BC279,12.6.13,COL_AM_POLLOS_0214,0.295950673,9.052835801,V219,P9,Forest,Urban,1,1
BC279,12.6.13,COL_AM_POLLOS_0215,0.303371192,8.993072374,V219,P9,Forest,Urban,1,1
BC279,12.6.13,COL_AM_POLLOS_0216,0.423249422,10.06025026,V219,P9,Forest,Urban,1,1
BC281,12.6.13,COL_AM_POLLOS_0217,0.375984136,7.424107651,P48,P48,Urban,Urban,0,1
BC281,12.6.13,COL_AM_POLLOS_0218,0.347855044,6.957748067,P48,P48,Urban,Urban,0,1
BC281,12.6.13,COL_AM_POLLOS_0219,0.429224662,8.015724779,P48,P48,Urban,Urban,0,1
BC281,12.6.13,COL_AM_POLLOS_0220,0.464178907,8.865442042,P48,P48,Urban,Urban,0,1
BC281,12.6.13,COL_AM_POLLOS_0221,0.426597046,8.067106643,P48,P48,Urban,Urban,0,1
BC281,12.6.13,COL_AM_POLLOS_0222,0.435825612,8.412843049,P48,P48,Urban,Urban,0,1
BC282,12.6.13,COL_AM_POLLOS_0223,0.400341645,10.26040002,VP140,P48,Forest,Urban,1,2
BC282,12.6.13,COL_AM_POLLOS_0224,0.468552684,9.957025943,VP140,P48,Forest,Urban,1,2
BC282,12.6.13,COL_AM_POLLOS_0225,0.426104023,9.281051302,VP140,P48,Forest,Urban,1,2
BC282,12.6.13,COL_AM_POLLOS_0226,0.373655892,10.57539212,VP140,P48,Forest,Urban,1,2
BC282,12.6.13,COL_AM_POLLOS_0227,0.408620942,11.88944252,VP140,P48,Forest,Urban,1,2
BC282,12.6.13,COL_AM_POLLOS_0228,0.421481428,9.862014346,VP140,P48,Forest,Urban,1,2
BC296,NO DATE,COL_AM_POLLOS_0229,0.4725396,5.820285567,V33,P148,Forest,Urban,1,1
BC296,NO DATE,COL_AM_POLLOS_0230,0.388082182,6.571192452,V33,P148,Forest,Urban,1,1
