id,samp_date,spectrum,YC,YB,habitat,area,sex,age
2A395636,27.04.14,GT_AMAR_1192,0.504941517,12.38563256,Forest,Madrid,1,2yr+
2A395636,27.04.14,GT_AMAR_1193,0.435950841,10.29167116,Forest,Madrid,1,2yr+
2A395636,27.04.14,GT_AMAR_1194,0.55656104,8.490205297,Forest,Madrid,1,2yr+
2A395638,27.04.14,GT_AMAR_1201,0.657131581,11.71101589,Forest,Madrid,2,2yr+
2A395638,27.04.14,GT_AMAR_1202,0.784430037,11.61148892,Forest,Madrid,2,2yr+
2A395638,27.04.14,GT_AMAR_1203,0.607085519,11.48180219,Forest,Madrid,2,2yr+
2A395638,27.04.14,GT_AMAR_1204,0.755072081,13.3320413,Forest,Madrid,2,2yr+
2A395638,27.04.14,GT_AMAR_1205,0.7179048,11.46583648,Forest,Madrid,2,2yr+
2A395638,27.04.14,GT_AMAR_1206,0.709104736,11.66323377,Forest,Madrid,2,2yr+
2A430831,10.05.14,GT_AMAR_1147,0.669402586,11.60836791,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1148,0.683220047,10.40948009,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1149,0.705325857,10.24796068,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1150,0.60304606,10.59464925,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1151,0.650250231,11.55741938,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1152,0.637695129,11.21494498,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1387,0.627811056,10.32803368,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1388,0.698097243,9.464572968,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1389,0.645361955,10.2507474,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1390,0.681815683,12.40291746,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1391,0.739571178,10.16682899,Forest,Madrid,2,1yr
2A430831,10.05.14,GT_AMAR_1392,0.713504471,11.55112108,Forest,Madrid,2,1yr
2A431192,07.03.14,GT_AMAR_1225,0.806740994,11.93884242,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1226,0.806046714,12.46178073,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1227,0.719969267,12.19257358,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1228,0.80144323,11.20941988,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1229,0.64777455,11.16562794,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1230,0.766037359,10.98244914,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1411,0.752654772,14.97765935,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1412,0.50393459,15.38435417,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1413,0.577433359,15.16769433,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1414,0.674800355,16.88809196,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1415,0.556494242,15.46818277,Urban,Madrid,1,2yr+
2A431192,07.03.14,GT_AMAR_1416,0.622685363,14.74757246,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1231,0.525168264,14.41859114,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1232,0.477627255,15.33676756,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1233,0.476400082,12.85625689,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1234,0.450615211,15.64734445,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1235,0.539779011,16.01470862,Urban,Madrid,1,2yr+
2A431193,07.03.14,GT_AMAR_1236,0.437235109,13.42854468,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1237,0.361374697,13.46062532,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1238,0.335968701,12.34696132,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1239,0.28700059,13.38165101,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1240,0.606643981,14.4639118,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1241,0.44521987,12.9416184,Urban,Madrid,1,2yr+
2A431194,07.03.14,GT_AMAR_1242,0.416322042,14.06281361,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1315,0.572992363,14.93587898,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1316,0.53448919,12.57900878,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1317,0.618138779,15.49743988,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1318,0.45393396,14.57701094,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1319,0.47752273,15.70740005,Urban,Madrid,1,2yr+
2A431492,07.10.14,GT_AMAR_1320,0.480971415,14.06172653,Urban,Madrid,1,2yr+
G1,16.06.15,GT_AMAR_0583,0.446592949,13.39142742,Urban,Goteborg,1,2yr+
G1,16.06.15,GT_AMAR_0584,0.438996215,14.50108936,Urban,Goteborg,1,2yr+
G1,16.06.15,GT_AMAR_0585,0.674014397,13.8463974,Urban,Goteborg,1,2yr+
G1,16.06.15,GT_AMAR_0586,0.642374424,15.24946385,Urban,Goteborg,1,2yr+
G1,16.06.15,GT_AMAR_0587,0.567414199,15.63445245,Urban,Goteborg,1,2yr+
G1,16.06.15,GT_AMAR_0588,0.58148721,14.01602553,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0637,0.495029252,12.72939962,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0638,0.417449505,12.52390136,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0639,0.364712897,12.91110427,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0640,0.566743863,13.94983385,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0641,0.541526016,12.90546154,Urban,Goteborg,1,2yr+
G10,16.06.15,GT_AMAR_0642,0.546859809,12.03830586,Urban,Goteborg,1,2yr+
G11,16.06.15,GT_AMAR_0643,0.344218558,14.54248852,Urban,Goteborg,2,2yr+
G11,16.06.15,GT_AMAR_0644,0.399584441,13.89336436,Urban,Goteborg,2,2yr+
G11,16.06.15,GT_AMAR_0645,0.413980632,13.17394587,Urban,Goteborg,2,2yr+
G11,16.06.15,GT_AMAR_0646,0.391548827,13.81220518,Urban,Goteborg,2,2yr+
G11,16.06.15,GT_AMAR_0647,0.437261308,14.86648716,Urban,Goteborg,2,2yr+
G11,16.06.15,GT_AMAR_0648,0.445540657,15.6849882,Urban,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0649,0.885255193,12.59832475,Forest,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0650,0.888240014,15.0340589,Forest,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0651,0.755682021,11.97049618,Forest,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0652,0.711465487,12.96617615,Forest,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0653,0.759474312,13.48407185,Forest,Goteborg,2,2yr+
G12,17.06.15,GT_AMAR_0654,0.763073945,12.03339666,Forest,Goteborg,2,2yr+
G13,17.06.15,GT_AMAR_0655,0.603629439,12.79516892,Forest,Goteborg,1,2yr+
G13,17.06.15,GT_AMAR_0656,0.667371308,12.43352497,Forest,Goteborg,1,2yr+
G13,17.06.15,GT_AMAR_0657,0.68205966,12.02355359,Forest,Goteborg,1,2yr+
G13,17.06.15,GT_AMAR_0658,0.486150578,14.66086871,Forest,Goteborg,1,2yr+
G13,17.06.15,GT_AMAR_0659,0.554095165,12.47092355,Forest,Goteborg,1,2yr+
G13,17.06.15,GT_AMAR_0660,0.599281462,11.9020991,Forest,Goteborg,1,2yr+
G14,17.06.15,GT_AMAR_0661,0.579742261,15.77132662,Forest,Goteborg,2,1yr
G14,17.06.15,GT_AMAR_0662,0.611565819,18.22014101,Forest,Goteborg,2,1yr
G14,17.06.15,GT_AMAR_0663,0.587955719,15.34287445,Forest,Goteborg,2,1yr
G14,17.06.15,GT_AMAR_0664,0.59529231,14.78414618,Forest,Goteborg,2,1yr
